sid,station_name,lat,long,remarks
S24,Changi,1.3678,103.9826,
S43,Tai Seng,1.3399,103.8878,
S44,Jurong (West),1.3455,103.6806,
S50,Clementi,1.3337,103.7768,
S104,Admiralty ,1.4439,103.7854,
S107,East Coast Parkway,1.3134,103.9619,
S108,Marine Barrage,1.2799,103.8703,
S109,Ang Mo Kio,1.3764,103.8492,
S111,Newton,1.3106,103.8365,missing Sep-Nov 2016
S115,Tuas South,1.2938,103.6184,
S116,Pasir Panjang,1.281,103.754,
S121,Choa Chu Kang (South),1.3729,103.7224,missing May 2015
S122,Khatib,1.4173,103.8249,
